哎哟,āi yō,hey
给予,jǐ yǔ,to accord
寄托,jì tuō,to have sb look after sb
继承,jì chéng,to inherit
继往开来,jì wǎng kāi lái,to follow the past and herald the future (idiom); part of a historical transition
记性,jì xìng,memory
记载,jì zǎi,to write down
季度,jì dù,quarter of a year
季军,jì jūn,third in a race
计较,jì jiào,to bother about
忌讳,jì huì,taboo
寂静,jì jìng,quiet
纪要,jì yào,minutes
技能,jì néng,technical ability
技巧,jì qiǎo,skill
迹象,jì xiàng,mark
家常,jiā cháng,the daily life of a family
家伙,jiā huo,household dish
家属,jiā shǔ,family member
家喻户晓,jiā yù hù xiǎo,understood by everyone (idiom); well known
加工,jiā gōng,to process
加剧,jiā jù,to intensify
佳肴,jiā yáo,fine food
夹杂,jiā zá,to mix together (disparate substances)
假设,jiǎ shè,suppose that...
假使,jiǎ shǐ,if
坚定,jiān dìng,firm
坚固,jiān gù,firm
坚韧,jiān rèn,tough and durable
坚实,jiān shí,firm and substantial
坚硬,jiān yìng,hard
监督,jiān dū,to control
监视,jiān shì,to monitor
监狱,jiān yù,prison
尖端,jiān duān,sharp pointed end
艰难,jiān nán,difficult
兼职,jiān zhí,to hold concurrent posts
拣,jiǎn,to choose
剪彩,jiǎn cǎi,to cut the ribbon (at a launching or opening ceremony)
检讨,jiǎn tǎo,to examine or inspect
检验,jiǎn yàn,to inspect
简化,jiǎn huà,to simplify
简陋,jiǎn lòu,simple and crude (of a room or building)
简体字,jiǎn tǐ zì,simplified Chinese character
简要,jiǎn yào,concise
溅,jiàn,splash
鉴别,jiàn bié,to differentiate
鉴定,jiàn dìng,to appraise
鉴于,jiàn yú,in view of
间谍,jiàn dié,spy
间隔,jiàn gé,compartment
间接,jiàn jiē,indirect
见多识广,jiàn duō shí guǎng,experienced and knowledgeable (idiom)
见解,jiàn jiě,opinion
见闻,jiàn wén,what one sees and hears
见义勇为,jiàn yì yǒng wéi,to see what is right and act courageously (idiom
健全,jiàn quán,robust
践踏,jiàn tà,to trample
舰艇,jiàn tǐng,warship
将近,jiāng jìn,almost
将军,jiāng jūn,general
僵硬,jiāng yìng,stiff
桨,jiǎng,oar
奖励,jiǎng lì,to reward
奖赏,jiǎng shǎng,reward
降临,jiàng lín,to descend to
交叉,jiāo chā,to cross
交代,jiāo dài,to hand over
交涉,jiāo shè,to negotiate
交往,jiāo wǎng,to associate
交易,jiāo yì,(business) transaction
焦点,jiāo diǎn,focus
焦急,jiāo jí,anxiety
娇气,jiāo qì,delicate
角落,jiǎo luò,nook
搅拌,jiǎo bàn,to stir
缴纳,jiǎo nà,to pay (taxes etc)
教养,jiào yǎng,to train
较量,jiào liàng,to have a contest with sb
皆,jiē,all
接连,jiē lián,on end
阶层,jiē céng,hierarchy
揭发,jiē fā,to expose
揭露,jiē lù,to expose
节奏,jié zòu,rhythm
杰出,jié chū,outstanding
结晶,jié jīng,crystallization
结局,jié jú,conclusion
结算,jié suàn,to settle a bill
竭尽全力,jié jìn quán lì,to spare no effort (idiom); to do one's utmost
截至,jié zhì,up to (a time)
解除,jiě chú,to remove
解雇,jiě gù,to fire
解剖,jiě pōu,to dissect (an animal)
解散,jiě sàn,to dissolve
解体,jiě tǐ,to break up into components
借鉴,jiè jiàn,to use other people's experience
借助,jiè zhù,to draw support from
戒备,jiè bèi,to take precautions
界限,jiè xiàn,boundary
津津有味,jīn jīn yǒu wèi,with keen interest pleasure (idiom); with gusto
金融,jīn róng,banking
紧密,jǐn mì,inseparably close
紧迫,jǐn pò,pressing
尽快,jǐn kuài,as quickly as possible
锦绣前程,jǐn xiù qián chéng,bright future
进而,jìn ér,and then (what follows next)
进攻,jìn gōng,to attack
进化,jìn huà,evolution
进展,jìn zhǎn,to make headway
近来,jìn lái,recently
近视,jìn shì,shortsighted
浸泡,jìn pào,to steep
晋升,jìn shēng,to promote to a higher position
劲头,jìn tóu,enthusiasm
茎,jīng,stalk
精打细算,jīng dǎ xì suàn,(saying) meticulous planning and careful accounting
精华,jīng huá,best feature
精简,jīng jiǎn,to simplify
精密,jīng mì,accuracy
精确,jīng què,accurate
精通,jīng tōng,proficient
精心,jīng xīn,with utmost care
精益求精,jīng yì qiú jīng,to perfect sth that is already outstanding (idiom); constantly improving
精致,jīng zhì,delicate
经费,jīng fèi,funds
经商,jīng shāng,to trade
经纬,jīng wěi,warp and woof
惊动,jīng dòng,alarm
惊奇,jīng qí,to be amazed
惊讶,jīng yà,amazed
兢兢业业,jīng jīng yè yè,cautious and conscientious
井,jǐng,a well
警告,jǐng gào,to warn
警惕,jǐng tì,to be on the alert
颈椎,jǐng zhuī,cervical vertebra
敬礼,jìng lǐ,to salute
境界,jìng jiè,boundary
竞赛,jìng sài,race
竞选,jìng xuǎn,to take part in an election
镜头,jìng tóu,camera lens
纠纷,jiū fēn,a dispute
纠正,jiū zhèng,to correct
酒精,jiǔ jīng,alcohol
救济,jiù jì,emergency relief
就近,jiù jìn,nearby
就业,jiù yè,looking for employment
就职,jiù zhí,to take office
鞠躬,jū gōng,to bow
拘留,jū liú,to detain (a prisoner)
拘束,jū shù,to restrict
居住,jū zhù,to reside
局部,jú bù,part
局面,jú miàn,aspect
局势,jú shì,situation
局限,jú xiàn,to limit
举动,jǔ dòng,act
举世闻名,jǔ shì wén míng,(saying) world famous
举世瞩目,jǔ shì zhǔ mù,to receive worldwide attention
举足轻重,jǔ zú qīng zhòng,a foot's move sways the balance (idiom); to hold the balance of power
咀嚼,jǔ jué,to chew
沮丧,jǔ sàng,dispirited
剧本,jù běn,script for play
剧烈,jù liè,violent
聚精会神,jù jīng huì shén,to concentrate one's attention (idiom)
据悉,jù xī,according to reports
决策,jué cè,strategic decision
觉悟,jué wù,consciousness
觉醒,jué xǐng,to awaken
绝望,jué wàng,desperation
军队,jūn duì,army troops
卡通,kǎ tōng,cartoon
开采,kāi cǎi,to extract (ore or other resource from a mine)
开除,kāi chú,to expel
开阔,kāi kuò,wide
开朗,kāi lǎng,spacious and well-lit
开明,kāi míng,enlightened
开辟,kāi pì,to open up
开水,kāi shuǐ,boiled water
开拓,kāi tuò,to break new ground (for agriculture)
开展,kāi zhǎn,(begin to) develop
开支,kāi zhī,expenditures
刊登,kān dēng,to carry a story
刊物,kān wù,publication
勘探,kān tàn,exploration
看待,kàn dài,to look upon
看望,kàn wàng,to visit
慷慨,kāng kǎi,vehement
扛,káng,to carry on one's shoulder
考察,kǎo chá,to inspect
考古,kǎo gǔ,archaeology
考核,kǎo hé,to examine
考验,kǎo yàn,to test
靠拢,kào lǒng,to draw close to
磕,kē,to tap
颗粒,kē lì,kernel
科目,kē mù,subject
渴望,kě wàng,to thirst for
可观,kě guān,considerable
可口,kě kǒu,tasty
可恶,kě wù,repulsive
可笑,kě xiào,funny
可行,kě xíng,feasible
刻不容缓,kè bù róng huǎn,to brook no delay
课题,kè tí,task
客户,kè hù,client
啃,kěn,to gnaw
恳切,kěn qiè,earnest
坑,kēng,hole
空洞,kōng dòng,cavity
空前绝后,kōng qián jué hòu,unprecedented and never to be duplicated
空想,kōng xiǎng,daydream
空虚,kōng xū,hollow
孔,kǒng,hole
恐吓,kǒng hè,to threaten
恐惧,kǒng jù,fear
空白,kòng bái,blank space
空隙,kòng xì,crack
口气,kǒu qì,tone of voice
口腔,kǒu qiāng,oral cavity
口头,kǒu tóu,oral
口音,kǒu yīn,oral speech sounds (linguistics)
枯竭,kū jié,used up
枯燥,kū zào,dry and dull
苦尽甘来,kǔ jìn gān lái,bitterness finishes
挎,kuà,to carry (esp. slung over the arm
跨,kuà,to step across
快活,kuài huo,happy
宽敞,kuān chang,spacious
款待,kuǎn dài,to entertain
款式,kuǎn shì,pattern
筐,kuāng,basket
旷课,kuàng kè,to play truant
框架,kuàng jià,frame
况且,kuàng qiě,moreover
亏待,kuī dài,to treat sb unfairly
亏损,kuī sǔn,deficit
昆虫,kūn chóng,insect
捆绑,kǔn bǎng,to bind
扩充,kuò chōng,to expand
扩散,kuò sàn,to spread
扩张,kuò zhāng,expansion
喇叭,lǎ ba,horn (automobile etc)
啦,la,sentence-final particle
来历,lái lì,history
来源,lái yuán,source (of information etc)
栏目,lán mù,regular column or segment (in a publication or broadcast program)
懒惰,lǎn duò,idle
狼狈,láng bèi,in a difficult situation
朗读,lǎng dú,read aloud
捞,lāo,to fish up
唠叨,láo dao,to prattle
牢固,láo gù,firm
牢骚,láo sāo,discontent
乐趣,lè qù,delight
乐意,lè yì,to be willing to do sth
雷达,léi dá,radar (loanword)
类似,lèi sì,similar
冷淡,lěng dàn,cold
冷酷,lěng kù,grim
冷却,lěng què,to cool off
愣,lèng,to look distracted
黎明,lí míng,dawn
里程碑,lǐ chéng bēi,milestone
礼节,lǐ jié,etiquette
理睬,lǐ cǎi,to heed
理所当然,lǐ suǒ dāng rán,as it should be by rights (idiom); proper and to be expected as a matter of course
理直气壮,lǐ zhí qì zhuàng,in the right and self-confident (idiom); bold and confident with justice on one's side
理智,lǐ zhì,reason
立场,lì chǎng,position
立交桥,lì jiāo qiáo,overpass
立体,lì tǐ,three-dimensional
立足,lì zú,to stand
历代,lì dài,successive generations
历来,lì lái,always
利害,lì hài,pros and cons
利率,lì lǜ,interest rates
力所能及,lì suǒ néng jí,as far as one's capabilities extend (idiom); to the best of one's ability
力图,lì tú,to try hard to
力争,lì zhēng,to work hard for
例外,lì wài,(make an) exception
连年,lián nián,successive years
连锁,lián suǒ,to interlock
连同,lián tóng,together with
联欢,lián huān,have a get-together
联络,lián luò,communication
联盟,lián méng,alliance
联想,lián xiǎng,to associate (cognitively)
廉洁,lián jié,honest
良心,liáng xīn,conscience
晾,liàng,to dry in the air
谅解,liàng jiě,to understand
辽阔,liáo kuò,vast
列举,liè jǔ,a list
淋,lín,to drain
临床,lín chuáng,clinical
吝啬,lìn sè,stingy
零星,líng xīng,fragmentary
凌晨,líng chén,very early in the morning
灵感,líng gǎn,inspiration
灵魂,líng hún,soul
灵敏,líng mǐn,smart
伶俐,líng lì,clever
领会,lǐng huì,to understand
领事馆,lǐng shì guǎn,consulate
领土,lǐng tǔ,territory
领悟,lǐng wù,to understand
领先,lǐng xiān,to lead
领袖,lǐng xiù,leader
溜,liū,to slip away
留恋,liú liàn,reluctant to leave
留念,liú niàn,to keep as a souvenir
留神,liú shén,to take care
流浪,liú làng,to drift about
流露,liú lù,to express
流氓,liú máng,rogue
流通,liú tōng,to circulate
聋哑,lóng yǎ,deaf and dumb
隆重,lóng zhòng,grand
垄断,lǒng duàn,to enjoy market dominance
笼罩,lǒng zhào,to envelop
搂,lǒu,to hug
炉灶,lú zào,stove
轮船,lún chuán,steamship
轮廓,lún kuò,an outline
轮胎,lún tāi,tire
论坛,lùn tán,forum (for discussion)
论证,lùn zhèng,to prove a point
啰唆,luō suō,see 囉嗦|啰嗦[luō suo]
螺丝钉,luó sī dīng,screw
落成,luò chéng,to complete a construction project
落实,luò shí,practical
络绎不绝,luò yì bù jué,continuously; in an endless stream (idiom)
屡次,lǚ cì,repeatedly
履行,lǚ xíng,to fulfill (one's obligations)
掠夺,lvè duó,to plunder
略微,lvè wēi,a little bit
麻痹,má bì,paralysis
麻木,má mù,numb
麻醉,má zuì,anesthesia
码头,mǎ tóu,dock
嘛,ma,modal particle indicating that sth is obvious
埋伏,mái fú,to ambush
埋没,mái mò,to engulf
埋葬,mái zàng,to bury
迈,mài,take a step
脉搏,mài bó,a pulse (both medical and figurative)
埋怨,mán yuàn,to complain
慢性,màn xìng,slow and patient
漫长,màn cháng,very long
漫画,màn huà,caricature
蔓延,màn yán,to extend
忙碌,máng lù,busy
茫茫,máng máng,boundless
茫然,máng rán,blankly
盲目,máng mù,blind
冒充,mào chōng,to feign
茂盛,mào shèng,lush
枚,méi,classifier for coins
没辙,méi zhé,(idiom) unable to solve; no way to escape a problem
媒介,méi jiè,media
媒体,méi tǐ,media
美观,měi guān,pleasing to the eye
美满,měi mǎn,happy
美妙,měi miào,beautiful
门诊,mén zhěn,outpatient service
蒙,méng,to cover
萌芽,méng yá,sprout
猛烈,měng liè,fierce
梦想,mèng xiǎng,(figuratively) to dream of
眯,mī,to narrow one's eyes
弥补,mí bǔ,to complement
弥漫,mí màn,variant of 彌漫|弥漫[mí màn]
迷惑,mí huo,to puzzle
迷人,mí rén,fascinating
迷失,mí shī,lost
迷信,mí xìn,superstition
密度,mì dù,density
密封,mì fēng,to seal up
免得,miǎn de,so as not to
免疫,miǎn yì,immunity (to disease)
勉励,miǎn lì,to encourage
勉强,miǎn qiǎng,to do with difficulty
面貌,miàn mào,appearance
面子,miàn zi,outer surface
描绘,miáo huì,to describe
渺小,miǎo xiǎo,minute
蔑视,miè shì,to loathe
灭亡,miè wáng,to be destroyed
民间,mín jiān,among the people
民用,mín yòng,(for) civilian use
敏感,mǐn gǎn,sensitive
敏捷,mǐn jié,nimble
敏锐,mǐn ruì,keen
明明,míng míng,obviously
名次,míng cì,position in a ranking of names
名额,míng é,quota
名副其实,míng fù qí shí,not just in name only
名誉,míng yù,fame
命名,mìng míng,to give a name to
摸索,mō suo,to feel about
膜,mó,membrane
摩擦,mó cā,friction
磨合,mó hé,to break in
模范,mó fàn,model
模式,mó shì,mode
模型,mó xíng,model
魔鬼,mó guǐ,devil
魔术,mó shù,magic
抹杀,mǒ shā,to erase
莫名其妙,mò míng qí miào,unfathomable mystery (idiom); subtle and ineffable
默默,mò mò,in silence
墨水儿,mò shuǐ r,erhua variant of 墨水
谋求,móu qiú,to seek
模样,mú yàng,look
母语,mǔ yǔ,native language
目睹,mù dǔ,to witness
目光,mù guāng,sight
沐浴,mù yù,to take a bath
拿手,ná shǒu,expert in
纳闷儿,nà mèn r,puzzled
耐用,nài yòng,durable
难得,nán dé,seldom
难堪,nán kān,hard to take
难免,nán miǎn,hard to avoid
难能可贵,nán néng kě guì,rare and precious
恼火,nǎo huǒ,to get angry
内涵,nèi hán,meaning
内幕,nèi mù,inside story
内在,nèi zài,intrinsic
能量,néng liàng,energy
嗯,en,interjection indicating approval
拟定,nǐ dìng,to draw up
年度,nián dù,year (e.g. school year
捏,niē,to pinch (with one's fingers)
拧,níng,to pinch
凝固,níng gù,to freeze
凝聚,níng jù,to condense
凝视,níng shì,to gaze at
宁肯,nìng kěn,would rather...
宁愿,nìng yuàn,would rather
纽扣儿,niǔ kòu ér,Buttons children
扭转,niǔ zhuǎn,to reverse
浓厚,nóng hòu,dense
农历,nóng lì,the traditional Chinese calendar
奴隶,nú lì,slave
挪,nuó,to shift
虐待,nvè dài,to mistreat
哦,ò,oh (interjection indicating that one has just learned sth)
殴打,ōu dǎ,to beat up
欧洲,Oū zhōu,Europe
呕吐,ǒu tù,to vomit
趴,pā,to lie on one's stomach
排斥,pái chì,to reject
排除,pái chú,to eliminate
排放,pái fàng,emission
徘徊,pái huái,to dither
派别,pài bié,denomination
派遣,pài qiǎn,to send (on a mission)
攀登,pān dēng,to climb
盘旋,pán xuán,to spiral
畔,pàn,bank
判决,pàn jué,judgment (by a court of law)
庞大,páng dà,huge
抛弃,pāo qì,to abandon
泡沫,pào mò,foam
培训,péi xùn,to cultivate
培育,péi yù,to train
配备,pèi bèi,to allocate
配偶,pèi ǒu,consort
配套,pèi tào,to form a complete set
盆地,pén dì,basin (low-lying geographical feature)
烹饪,pēng rèn,cooking
捧,pěng,to clasp
劈,pī,to hack
批发,pī fā,wholesale
批判,pī pàn,to criticize
疲惫,pí bèi,beaten
疲倦,pí juàn,to tire
皮革,pí gé,leather
屁股,pì gu,buttocks
譬如,pì rú,for example
偏差,piān chā,bias
偏见,piān jiàn,prejudice
偏僻,piān pì,remote
偏偏,piān piān,sth turns out just the opposite of what one would expect
片断,piàn duàn,section
片刻,piàn kè,short period of time
飘扬,piāo yáng,to wave
漂浮,piāo fú,to float
拼搏,pīn bó,to struggle
拼命,pīn mìng,to do one's utmost
频繁,pín fán,frequently
频率,pín lǜ,frequency
贫乏,pín fá,lack
贫困,pín kùn,impoverished
品尝,pǐn cháng,to taste a small amount
品德,pǐn dé,moral character
品行,pǐn xíng,behavior
品质,pǐn zhì,quality
平凡,píng fán,commonplace
平面,píng miàn,plane (flat surface)
平坦,píng tǎn,level
平行,píng xíng,parallel
平原,píng yuán,field
评估,píng gū,to evaluate
评论,píng lùn,to comment on
屏障,píng zhàng,protective screen
坡,pō,slope
泼,pō,to splash
颇,pō,rather
破例,pò lì,to make an exception
迫不及待,pò bù jí dài,impatient (idiom); in a hurry
迫害,pò hài,to persecute
魄力,pò lì,courage
扑,pū,to throw oneself at
铺,pū,to spread
普及,pǔ jí,popular
朴实,pǔ shí,plain
瀑布,pù bù,waterfall
期望,qī wàng,to have expectations
期限,qī xiàn,time limit
欺负,qī fu,to bully
欺骗,qī piàn,to deceive
凄凉,qī liáng,desolate
奇妙,qí miào,fantastic
旗袍,qí páo,Chinese-style dress
旗帜,qí zhì,ensign
齐全,qí quán,complete
齐心协力,qí xīn xié lì,to work with a common purpose (idiom); to make concerted efforts
歧视,qí shì,to discriminate against
起草,qǐ cǎo,draft (a bill)
起初,qǐ chū,originally
起伏,qǐ fú,to move up and down
起哄,qǐ hòng,to heckle
起码,qǐ mǎ,at the minimum
起义,qǐ yì,uprising
起源,qǐ yuán,origin
启程,qǐ chéng,to set out on a journey
启示,qǐ shì,enlightenment
启事,qǐ shì,announcement (written
乞丐,qǐ gài,beggar
岂有此理,qǐ yǒu cǐ lǐ,how can this be so? (idiom); preposterous
器材,qì cái,equipment
器官,qì guān,organ (part of body tissue)
气概,qì gài,lofty quality
气功,qì gōng,qigong
气魄,qì pò,spirit
气色,qì sè,complexion
气势,qì shì,imposing manner
气味,qì wèi,odor
气象,qì xiàng,meteorological feature
气压,qì yā,atmospheric pressure
迄今为止,qì jīn wéi zhǐ,so far
掐,qiā,to pick (flowers)
恰当,qià dàng,appropriate
恰到好处,qià dào hǎo chù,it's just perfect
恰巧,qià qiǎo,fortunately
洽谈,qià tán,to discuss
牵扯,qiān chě,to involve
牵制,qiān zhì,to control
千方百计,qiān fāng bǎi jì,lit. thousand ways
签订,qiān dìng,to agree to and sign (a treaty etc)
签署,qiān shǔ,to sign (an agreement)
迁就,qiān jiù,to yield
迁徙,qiān xǐ,to migrate
谦逊,qiān xùn,humble
前景,qián jǐng,foreground
前提,qián tí,premise
潜力,qián lì,potential
潜水,qián shuǐ,to dive
潜移默化,qián yí mò huà,imperceptible influence
谴责,qiǎn zé,to denounce
强制,qiáng zhì,to enforce
抢劫,qiǎng jié,to rob
抢救,qiǎng jiù,rescue
强迫,qiǎng pò,to compel
桥梁,qiáo liáng,bridge
翘,qiào,to stick up
锲而不舍,qiè ér bù shě,to chip away at a task and not abandon it (idiom); to chisel away at sth
切实,qiè shí,feasible
亲热,qīn rè,affectionate
亲身,qīn shēn,personal
侵犯,qīn fàn,to infringe on
钦佩,qīn pèi,to admire
勤俭,qín jiǎn,hardworking and frugal
勤恳,qín kěn,diligent and attentive
氢,qīng,hydrogen (chemistry)
轻而易举,qīng ér yì jǔ,easy
清澈,qīng chè,clear
清晨,qīng chén,early morning
清除,qīng chú,to eliminate
清洁,qīng jié,clean
清理,qīng lǐ,to clear up
清晰,qīng xī,clear
清醒,qīng xǐng,clear-headed
清真,qīng zhēn,Islamic
倾听,qīng tīng,to listen attentively
倾向,qīng xiàng,trend
倾斜,qīng xié,to incline
晴朗,qíng lǎng,sunny and cloudless
情报,qíng bào,(spy) intelligence
情节,qíng jié,plot
情理,qíng lǐ,reason
情形,qíng xing,circumstances
请柬,qǐng jiǎn,invitation card
请教,qǐng jiào,to ask for guidance
请示,qǐng shì,to ask for instructions
请帖,qǐng tiě,invitation card
丘陵,qiū líng,hills
区分,qū fēn,to differentiate
区域,qū yù,area
屈服,qū fú,to surrender
曲折,qū zhé,complicated
驱逐,qū zhú,to expel
渠道,qú dào,irrigation ditch
取缔,qǔ dì,to ban
曲子,qǔ zi,poem for singing
趣味,qù wèi,fun
圈套,quān tào,trap
全局,quán jú,overall situation
全力以赴,quán lì yǐ fù,to do at all costs
权衡,quán héng,to weigh
权威,quán wēi,authority
权益,quán yì,rights and benefits
拳头,quán tou,fist
犬,quǎn,dog
缺口,quē kǒu,nick
缺席,quē xí,absence
缺陷,quē xiàn,defect
瘸,qué,lame
确保,què bǎo,to ensure
确立,què lì,to establish
确切,què qiè,definite
确信,què xìn,to be convinced
群众,qún zhòng,mass
染,rǎn,to dye
让步,ràng bù,to concede
饶恕,ráo shù,to forgive
扰乱,rǎo luàn,to disturb
惹祸,rě huò,stirring up trouble
热泪盈眶,rè lèi yíng kuàng,eyes brimming with tears of excitement (idiom)
热门,rè mén,popular
人道,rén dào,human sympathy
人格,rén gé,personality
人工,rén gōng,artificial
人家,rén jia,other people
人间,rén jiān,the human world
人士,rén shì,person
人为,rén wéi,artificial
人性,rén xìng,human nature
人质,rén zhì,hostage
仁慈,rén cí,benevolent
忍耐,rěn nài,to show restraint
忍受,rěn shòu,to bear
认定,rèn dìng,to maintain (that sth is true)
认可,rèn kě,to approve
任命,rèn mìng,to appoint and nominate
任性,rèn xìng,willful
任意,rèn yì,arbitrary
任重道远,rèn zhòng dào yuǎn,a heavy load and a long road
仍旧,réng jiù,still (remaining)
日新月异,rì xīn yuè yì,daily renewal
日益,rì yì,day by day
融洽,róng qià,harmonious
溶解,róng jiě,to dissolve
容貌,róng mào,one's appearance
容纳,róng nà,to hold
容器,róng qì,receptacle
容忍,róng rěn,to put up with
揉,róu,to knead
柔和,róu hé,gentle
弱点,ruò diǎn,weak point
若干,ruò gān,a certain number or amount
撒谎,sā huǎng,to tell lies
腮,sāi,cheek
三角,sān jiǎo,triangle
散文,sǎn wén,prose
散布,sàn bù,to disseminate
散发,sàn fā,to distribute
丧失,sàng shī,to lose
嫂子,sǎo zi,(informal) older brother's wife
色彩,sè cǎi,tint
刹车,shā chē,to brake (when driving)
啥,shá,dialectal equivalent of 什麼|什么[shén me]
筛选,shāi xuǎn,to filter
山脉,shān mài,mountain range
闪烁,shǎn shuò,flickering
擅长,shàn cháng,to be good at
擅自,shàn zì,without permission
商标,shāng biāo,trademark
伤脑筋,shāng nǎo jīn,knotty
上级,shàng jí,higher authorities
上进心,shàng jìn xīn,motivation
上任,shàng rèn,to take office
上瘾,shàng yǐn,to get into a habit
上游,shàng yóu,upper reaches (of a river)
捎,shāo,to bring sth to sb
梢,shāo,tip of branch
哨,shào,a whistle
奢侈,shē chǐ,luxurious
设立,shè lì,to set up
设想,shè xiǎng,to imagine
设置,shè zhì,to set up
社区,shè qū,community
涉及,shè jí,to involve
摄取,shè qǔ,absorb (nutrition)
摄氏度,shè shì dù,degrees centigrade
深奥,shēn ào,profound
深沉,shēn chén,deep
深情厚谊,shēn qíng hòu yì,deep friendship
申报,shēn bào,to report (to the authorities)
绅士,shēn shì,gentleman
呻吟,shēn yín,to moan
神奇,shén qí,magical
神气,shén qì,expression
神情,shén qíng,look
神色,shén sè,expression
神圣,shén shèng,divine
神态,shén tài,appearance
神仙,shén xiān,Daoist immortal
审查,shěn chá,to examine
审理,shěn lǐ,to hear (a case)
审美,shěn měi,esthetics
审判,shěn pàn,a trial
渗透,shèn tòu,to permeate
慎重,shèn zhòng,cautious
生存,shēng cún,to exist
生机,shēng jī,opportunity to live
生理,shēng lǐ,physiology
生疏,shēng shū,unfamiliar
生态,shēng tài,way of life
生物,shēng wù,organism
生效,shēng xiào,to take effect
生锈,shēng xiù,to rust
生育,shēng yù,to bear
牲畜,shēng chù,domesticated animals
声明,shēng míng,statement
声势,shēng shì,fame and power
声誉,shēng yù,reputation
省会,shěng huì,provincial capital
盛产,shèng chǎn,superabundant
盛开,shèng kāi,blooming
盛情,shèng qíng,great kindness
盛行,shèng xíng,to be in vogue
胜负,shèng fù,victory or defeat
失误,shī wù,lapse
失踪,shī zōng,to be missing
师范,shī fàn,teacher-training
施加,shī jiā,to exert (effort or pressure)
施展,shī zhǎn,to use fully
尸体,shī tǐ,dead body
拾,shí,to pick up
十足,shí zú,ample
识别,shí bié,to distinguish
时差,shí chā,time difference
时常,shí cháng,often
时而,shí ér,occasionally
时光,shí guāng,time
时机,shí jī,fortunate timing
时事,shí shì,current trends
时装,shí zhuāng,the latest fashion in clothes
实惠,shí huì,tangible benefit
实力,shí lì,strength
实施,shí shī,to implement
实事求是,shí shì qiú shì,to seek truth from facts (idiom)
实质,shí zhì,substance
石油,shí yóu,oil
使命,shǐ mìng,mission (diplomatic or other)
是非,shì fēi,right and wrong
试图,shì tú,to attempt
试验,shì yàn,experiment
势必,shì bì,to be bound to
势力,shì li,power
世代,shì dài,generation
世界观,shì jiè guān,worldview
示范,shì fàn,to demonstrate
示威,shì wēi,to demonstrate (as a protest)
示意,shì yì,to hint
释放,shì fàng,to release
事故,shì gù,accident
事迹,shì jì,deed
事件,shì jiàn,event
事态,shì tài,situation
事务,shì wù,(political
事项,shì xiàng,matter
事业,shì yè,undertaking
适宜,shì yí,suitable
视力,shì lì,vision
视线,shì xiàn,line of sight
视野,shì yě,field of view
逝世,shì shì,to pass away
收藏,shōu cáng,to hoard
收缩,shōu suō,to pull back
收益,shōu yì,earnings
收音机,shōu yīn jī,radio
手法,shǒu fǎ,technique
手势,shǒu shì,gesture
手艺,shǒu yì,craftmanship
首要,shǒu yào,the most important
守护,shǒu hù,to guard
受罪,shòu zuì,to endure
授予,shòu yǔ,to award
书法,shū fǎ,calligraphy
书籍,shū jí,books
书记,shū ji,secretary
书面,shū miàn,in writing
舒畅,shū chàng,happy
疏忽,shū hu,to neglect
数,shǔ,to count
竖,shù,to erect
束,shù,to bind
束缚,shù fù,to bind
树立,shù lì,to set up
数额,shù é,amount
数目,shù mù,amount
耍,shuǎ,to play with
衰老,shuāi lǎo,to age
衰退,shuāi tuì,to decline
率领,shuài lǐng,to lead
涮,shuàn,to rinse
双胞胎,shuāng bāo tāi,twin
爽快,shuǎng kuai,refreshed
水利,shuǐ lì,water conservancy
水龙头,shuǐ lóng tóu,faucet
水泥,shuǐ ní,cement
司法,sī fǎ,judicial
司令,sī lìng,commanding officer
思念,sī niàn,to think of
思索,sī suǒ,to think deeply
思维,sī wéi,(line of) thought
思绪,sī xù,train of thought
私自,sī zì,private
斯文,sī wén,refined
死亡,sǐ wáng,to die
四肢,sì zhī,the four limbs of the body
肆无忌惮,sì wú jì dàn,absolutely unrestrained
饲养,sì yǎng,to raise
耸,sǒng,to excite
艘,sōu,classifier for ships
搜索,sōu suǒ,to search
苏醒,sū xǐng,to wake up
俗话,sú huà,common saying
塑造,sù zào,to model
素食,sù shí,vegetables
素质,sù zhì,inner quality
诉讼,sù sòng,lawsuit
算了,suàn le,let it be
算数,suàn shù,to count numbers
随即,suí jí,immediately
随身,suí shēn,to (carry) on one's person
随手,suí shǒu,conveniently
随意,suí yì,as one wishes
岁月,suì yuè,years
隧道,suì dào,tunnel
损坏,sǔn huài,to damage
索赔,suǒ péi,to ask for compensation
索性,suǒ xìng,you might as well (do it)
塌,tā,collapse
踏实,tā shi,practical
台风,tái fēng,hurricane
太空,tài kōng,outer space
泰斗,tài dǒu,leading scholar of his time
瘫痪,tān huàn,paralysis
贪婪,tān lán,avaricious
贪污,tān wū,corruption
摊儿,tān r,erhua variant of 攤|摊[tān]
弹性,tán xìng,flexibility
坦白,tǎn bái,honest
探测,tàn cè,to probe
探索,tàn suǒ,to explore
探讨,tàn tǎo,to investigate
探望,tàn wàng,to visit
叹气,tàn qì,to sigh
糖葫芦,táng hú lu,sugar-coated Chinese hawthorn fruit on a stick
倘若,tǎng ruò,provided that
掏,tāo,variant of 掏[tāo]
滔滔不绝,tāo tāo bù jué,unceasing torrent (idiom)
陶瓷,táo cí,pottery and porcelain
淘气,táo qì,naughty
淘汰,táo tài,to wash out
讨价还价,tǎo jià huán jià,to haggle over price
